created,text,retweetCount
2017-07-06 10:43:33,RT @jamewils: Oh Lord Kumbhakarana..Thanks for waking up after 6 months of the draconian ordinance https://t.co/ifD1jsdLsi,254
2017-07-06 10:43:22,"RT @INCIndia: Demonetisation is not going to make any lasting dent in corruption- Paul Krugman, Nobel Laureate  https://t.co/rLG0Dth7qB",364
2017-07-06 10:43:00,"RT @hindustanse: @Shehla_Rashid ISIS bibi at JNU after #Demonetisation no one is paying u?, so no protection? U know that disease can affec…",53
2017-07-06 10:42:58,RT @FeignShourie: #DeMonetisation Disaster Decoded by @jamewils in a thread. Nobody does it better than him! https://t.co/H9cpQVWPsN,47
2017-07-06 10:42:49,"RT @INCIndia: Demonetisation is not going to make any lasting dent in corruption- Paul Krugman, Nobel Laureate  https://t.co/rLG0Dth7qB",364
2017-07-06 10:41:46,"RT @INCIndia: Demonetisation is not going to make any lasting dent in corruption- Paul Krugman, Nobel Laureate  https://t.co/rLG0Dth7qB",364
2017-07-06 10:41:38,"RT @INCIndia: Demonetisation is not going to make any lasting dent in corruption- Paul Krugman, Nobel Laureate  https://t.co/rLG0Dth7qB",364
2017-07-06 10:41:34,"RT @RenukaJain6: Demonetisation impact not as bad as some of us thought: Paul Krugman, Nobel Laureate. Finally he admits mistake  https://t…",92
2017-07-06 10:40:27,"RT @SurajMNHegde: New threats &amp; realities that will have to be faced in #cashless economy &amp; #DigitalIndia post #DeMonetisation
Imagine your…",59
2017-07-06 10:40:19,RT @kapsology: .@narendramodi trying to bring India out of self-made disaster ~ Demonetisation https://t.co/VRo8x9fNVi,81
2017-07-06 10:39:32,"RT @mgrg7: #NPA 6 lakh crores at the end of 2016 under #BJP Govt.
#DeMonetisation to write it off.
NPA rose under #Congress also but a litt…",3
2017-07-06 10:38:53,"RT @giniromet: Demonetisation impact not as bad as some of us thought: Paul Krugman, Nobel Laureate. Finally he admits mistake. 
Waiting fo…",61
2017-07-06 10:38:35,And just the other day there were some who were thrilled at vague reports that #DeMonetisation was a self-inflicted… https://t.co/3zxiki6Urw,0
